7.545,3,13.95796815
28.51,14,341.5735367
8.395,6,22.67193627
1.914,2,7.999497157
5.376,5,14.59668097
15.449,8,57.65595673
7.414,5,19.22775199
0.74,1,6.314604499
9.135,3,14.29094191
0.132,1,5.526250322
25.859,14,246.0119788
4.481,2,9.793943719
6.792,4,16.5018582
4.94,3,12.28022138
6.003,2,10.10426526
12.244,6,34.12516111
9.001,5,22.78650288
36.018,14,605.9566684
16.383,10,69.74616497
34.043,17,709.7195911
0.755,1,6.328599943
0.676,1,6.252673258
7.652,5,19.78298029
4.546,4,12.67068987
16.47,7,52.71260105
27.78,11,214.4283252
13.637,6,36.9871577
17.312,6,40.1420224
19.757,7,56.53547644
12.442,8,40.42082392
10.241,3,14.39345662
0.753,1,6.326745027
1.322,2,7.292035384
3.234,2,9.188341275
0.192,1,5.633436206
8.634,4,18.70107783
1.725,1,6.914583661
0.686,1,6.262591849
1.583,1,6.859729695
4.709,3,12.03307526
11.071,4,19.98092364
3.64,2,9.434858645
7.254,5,18.85353827
8.884,4,18.90712868
1.564,1,6.85176962
8.111,3,14.1126782
4.061,2,9.637520921
1.32,1,6.734751876
0.138,1,5.537578324
2.992,3,9.802402158
1.866,1,6.961708073
7.128,3,13.80826233
10.96,7,32.55598798
2.315,1,7.073442679
4.808,2,9.88959272
8.413,4,18.50102482
11.102,4,19.98919855
6.322,3,13.40737648
1.187,2,7.118615377
6.801,4,16.51538696
5.956,2,10.09872377
1.003,1,6.53388394
1.549,2,7.573895457
1.018,1,6.544835363
2.246,3,8.7257296
1.6,2,7.635479512
6.477,3,13.49747226
2.296,1,7.069682254
1.544,2,7.567822562
7.187,2,10.19825873
3.948,2,9.587990107
2.522,1,7.11003407
2.897,2,8.941649041
0.371,1,5.900609022
4.04,2,9.628571549
0.886,1,6.442929629
0.324,1,5.836107292
11.141,4,19.99941599
4.321,2,9.73919347
29.377,11,221.5587903
11.721,6,32.77804182
2.089,1,7.023611109
0.007,1,5.209897114
3.663,3,10.73755347
0.009,1,5.219097949
8.786,2,10.24890874
12.855,7,40.61305748
6.793,3,13.66125519
1.221,3,7.242454392
0.785,1,6.356017569
0.42,1,5.964472857
5.721,2,10.06815757
7.438,4,17.40849319
3.969,2,9.597453068
1.773,1,6.931396736
8.839,3,14.24994824
0.375,1,5.905946584
1.752,2,7.815034962
4.619,2,9.836825179
0.561,1,6.131779047
15.485,9,61.01031602
3.207,1,7.188989273
1.424,2,7.420223494
0.36,1,5.885811575
2.697,3,9.378817625
1.684,1,6.899553493
9.741,5,24.22251747
3.556,1,7.213054822
0.612,1,6.186984238
3.09,2,9.087742101
1.859,1,6.959525938
8.805,3,14.24476139
6.251,3,13.36384443
1.426,1,6.789124247
14.694,8,53.2078866
0.919,1,6.469602837
4.089,1,7.237645952
0.743,1,6.317419061
2.186,2,8.29190475
0.312,1,5.819080714
1.623,1,6.87599341
0.629,1,6.204812939
3.613,1,7.216290806
0.598,1,6.172089623
5.836,2,10.08373372
5.76,2,10.0735787
4.578,2,9.824485457
5.608,5,15.09755879
0.146,1,5.552444922
7.019,4,16.83569133
7.836,3,14.04370966
3.594,3,10.64404938
0.427,1,5.973335651
7.654,4,17.68018021
1.649,1,6.886214997
3.326,2,9.248924868
11.206,5,26.38880492
0.376,1,5.90727741
6.569,3,13.54784026
3.869,3,11.01188555
14.353,8,51.19260656
6.87,7,18.45156714
14.531,7,47.2332647
1.657,1,6.889305955
7,2,10.18797732
8.659,3,14.22126284
0.804,1,6.372993877
4.476,2,9.792316684
6.619,2,10.16250475
1.911,1,6.975367482
0.9,1,6.45434605
0.373,1,5.903280662
3.367,2,9.275013373
3.258,1,7.193020554
3.95,1,7.232326079
5.176,4,13.79464143
1.535,1,6.839320231
2.818,3,9.553105272
6.662,2,10.16572267
4.245,4,12.13652187
0.441,1,5.990874771
10.877,4,19.92591847
17.239,6,40.11782072
2.265,1,7.063388173
2.853,2,8.906518122
7.578,2,10.21598007
0.9,1,6.45434605
7.837,5,20.21210198
0.285,1,5.779867065
5.042,2,9.946360228
1.646,1,6.885049367
0.518,1,6.083140249
4.416,3,11.69723633
1.569,1,6.853879292
7.919,3,14.06568323
6.444,1,7.274565366
0.209,1,5.661729509
2.673,1,7.132295524
6.475,5,17.04221691
0.102,1,5.466960719
0.246,1,5.720804645
18.978,6,40.50766364
0.417,1,5.960655196
0.363,1,5.889864743
4.609,2,9.833845964
3.354,2,9.26680169
5.399,2,10.01738603
0.342,1,5.861210102
2.435,1,7.095584496
1.617,1,6.873595867
2.062,1,7.016848657
1.306,1,6.727132098
1.619,1,6.874396677
4.101,3,11.31094492
0.726,1,6.301366701
